_type,_id,_revision,_page.next,gr_gyv_id,gyv_pav,gyventoju_sk,taskas_wgs
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,0587d156-4a76-43cb-a8a8-48b01fd0e437,68824ab7-7ef8-4dbe-b95b-bc1fe86cd624,,10040,Jonkiškės k.,6,POINT (54.23256714 23.78288602)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,c749b979-c7ac-4948-9c86-e94646edd998,c399e68f-c420-4a49-98ef-d230a81e0aec,,10041,Kanaukų k.,3,POINT (54.14982977 23.6294571)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,747ae9e3-9efe-45d9-9c94-c3deb3361cea,fa817a92-3153-413c-910a-648f1efefab8,,10042,Mikabalių k.,27,POINT (54.19625405 23.76070958)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,8fa5e36e-c390-444e-8ab1-4ba7fc1e8f04,ce9a0eb1-c2f7-4e9c-8ee9-a90c4293e0ad,,10043,Nakrūniškės k.,8,POINT (54.25794357 23.74456993)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,afe1d476-5713-4d62-b344-2ab9fd6cde14,802f5854-7a2c-4de1-815c-cdf7305d51f9,,10045,Paliūnų k.,22,POINT (54.19974516 23.72289789)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,f1e74350-88b5-402a-9c33-b2e8e21df2f0,fb9f9f1b-7a5b-499c-b03d-23a4487d91e0,,10046,Paročkės k.,3,POINT (54.22936304 23.74319789)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,c1249518-db03-42c9-9460-2ce35e6b85c6,33cd4e71-5f91-4170-83d7-018fd8880072,,10047,Ročkių k.,63,POINT (54.21361486 23.76200922)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,cbf00c07-89ea-49b4-9ad0-e66673e082ea,f0740efd-4958-4561-a58b-5d422a80ab7b,,10048,Spartų k.,14,POINT (54.16928814 23.66986978)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,883558e8-e52f-48ad-a8f6-4783b95c6bf5,c267f96a-1b6d-43fe-8158-dc3bf3d2bd7d,,10049,Straigiškės k.,8,POINT (54.2430332 23.74559058)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,018dfb1a-a03a-4ade-97f3-e677e80dc569,fe266720-6d68-4e90-8733-c38552d5a028,,10050,Straigių k.,81,POINT (54.23772031 23.72429899)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,d48cc019-9ff1-403c-b55f-67fe9ead3e7a,7c537e40-a47f-41cc-a0b2-5fd1aa37ad31,,10052,Šlavantų k.,19,POINT (54.15366921 23.66048458)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,21081f41-ab35-4151-8061-81ffc2787bf5,232a7929-521a-4e4c-90eb-c41bd4ff0491,,10053,Vabaliūnų k.,4,POINT (54.17418448 23.70436678)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,d80d902e-1078-412b-9bf6-4db85ea0bdb7,bd92701c-22ec-4f79-be39-a991e4158c4d,,10054,Vaickūniškės k.,17,POINT (54.26965012 23.75700923)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,f5008f71-16cc-4ec6-9f6a-c9d74cabdb71,16b6a9db-9853-4ce4-972f-5cbd4baad5ac,,10055,Žagarių k.,121,POINT (54.24799742 23.76942342)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,ce2c2fd8-3aa2-405d-9fea-6d2426273222,87b38316-db44-4565-871f-b0c3f8deb28b,,10057,Balabostės k.,1,POINT (54.28379945 23.43175665)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,434cbdec-4f9f-44dd-b7ae-63fc52bad501,6a488883-6f0b-4f04-9df8-09741b93d84c,,10058,Baravos k.,5,POINT (54.30595232 23.49538323)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,61f19e16-4d8d-45d6-8eda-6161d74abead,f98cca0e-1cbc-478b-a3fa-80cdad853d35,,10059,Beviršių k.,4,POINT (54.27242578 23.44281272)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,5bc2dcd2-4ebe-473c-a557-3c09246a5ba6,eafe84ca-75d8-4b4b-a8e5-957942134bfb,,10060,Birutos k.,31,POINT (54.34822494 23.49473896)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,4665cb6d-3c1d-4980-af3b-35c7b95a9b84,bd04eca9-e525-40d0-bd12-df4eeb87b28b,,10062,Būdos k.,1,POINT (54.32032587 23.50472709)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,3aaa6ba7-9469-4ce7-a6f0-6432db482660,09ab5c7c-fb2f-43db-bab0-995b6e6b4483,,10064,Delnickų k.,6,POINT (54.36128402 23.47872118)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,dcfa0ced-db3b-423f-9189-b31eb8421092,7d375329-bd43-4c38-a907-a09127f9b932,,10065,Delnicos k.,3,POINT (54.349756 23.47073406)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,2e3bbecf-d792-41f1-9b34-e6e64030df58,20700f2c-931f-4e27-9a76-0fc3daf39454,,10066,Didžiosios Kirsnos k.,48,POINT (54.33476927 23.50527447)
